Id,Designator,Footprint,Quantity,Designation,Supplier and ref
1,"L1,L2",R_0603_1608Metric,2,1k Ferrite,
2,R1,R_0603_1608Metric,1,1k,
3,R2,R_0603_1608Metric,1,12k,
4,R3,R_0603_1608Metric,1,20k,
5,R4,R_0603_1608Metric,1,300,
6,"R5,R8,R13,R16",R_0603_1608Metric,4,560k,
7,"R6,R9,R14,R17",R_0603_1608Metric,4,220k,
8,"R7,R10,R18,R19",R_0603_1608Metric,4,100k,
9,R11,R_0603_1608Metric,1,10k,
10,"R12,R15",R_0603_1608Metric,2,100,
11,R20,R_0603_1608Metric,1,20,
12,"C1,C8,C13,C14,C15,C18",C_0603_1608Metric,6,100nF,
13,"C2,C6",CP_Elec_10x10.5,2,220uF,
14,"C3,C4",C_1206_3216Metric,2,10uF,
15,"C5,C16",C_0603_1608Metric,2,2.2uF,
16,"C7,C17",C_0603_1608Metric,2,470pF,
17,"C9,C10",C_0603_1608Metric,2,VAR,
18,"C11,C12",C_0603_1608Metric,2,DNP,
19,U1,RPi_Pico_SMD_TH,1,Raspberry_Pi_Pico,
20,U2,DDS,1,DDS,
21,U3,TLP2767,1,TLP2767,
22,"U4,U5",MIC5209-5.0YU,2,MIC5209-5.0YU,
23,"U6,U7,U8",SOIC-8_3.9x4.9mm_P1.27mm,3,OPA340UA,
24,U9,AS431BNTR-G1,1,AS431BNTR-G1,
25,J1,Eurocard_Carrier_Board,1,Eurocard_board_connector,
26,J2,PinHeader_2x03_P1.27mm_Vertical_SMD,1,Conn_02x03_Top_Bottom,
27,SW1,SOT175P420X230-3N,1,SW_SPDT,
28,BNC1,SMA_Amphenol_132134_Vertical,1,Trigger,
29,BNC2,SMA_Amphenol_132134_Vertical,1,Frequency,
30,BNC3,SMA_Amphenol_132134_Vertical,1,Amplitude,
31,ENC1,PinHeader_1x06_P2.54mm_Vertical,1,PINHD_1X6_ENC,
32,IC1,TEENSY41,1,TEENSY_4.1,
33,JP1,PinHeader_2x04_P2.54mm_Vertical,1,Conn_01x08_Female,
34,JP2,PinHeader_1x02_P2.54mm_Vertical,1,PINHD_1X2,
35,JP4,PinHeader_1x02_P2.54mm_Vertical,1,DNP,
